"","Site","Plot","AspectYr2","Yr2NVC","pHYr2","SOMYr2","MSG","LiveBasalAreaYr2","mean_dbh","tree density","plot_richness","ShortNVC"
"360",71,8,NA,"OV27d",4.3,15.4,5,1.325359401,12.98,0.65,14,"OV27"
"361",71,9,160,"W8d",6,5.3,5,2.650718801,9.64,1.35,32,"W8"
"362",71,10,160,"OV27d",5,6,5,1.559015354,12.18,0.61,19,"OV27"
"363",71,11,150,"OV27d",4.6,7.2,5,1.774999849,10.02,0.85,12,"OV27"
"364",71,12,180,"OV27d",5.2,6.4,5,1.405862712,9.93,1.59,17,"OV27"
"365",71,13,180,"OV27d",5.1,17,5,0.856083998,11.32,0.82,24,"OV27"
"366",71,14,140,"OV27d",4.9,9,5,1.541343896,9.32,1.105,28,"OV27"
"367",71,15,140,"W8d",5.2,9.5,5,0.783434668,9.33,1.175,18,"W8"
"368",71,16,150,"W8d",6.1,8.7,5,1.305724447,8.97,1.345,33,"W8"
"369",72,1,NA,"W10",4.347,13.4,3,2.758711049,42.5,0.2,36,"W10"
"370",72,2,NA,"W10d",4.879,13.3,3,0.824668072,30,0.165,17,"W10"
"371",72,3,NA,"W10d",5.03,24.1,3,2.165735436,33.75,0.25,21,"W10"
"372",72,4,NA,"W10d",4.881,16.3,3,0.263108385,10.24,0.24,19,"W10"
"373",72,5,NA,"W10d",4.584,14.4,5,1.209513172,24.17,0.26,18,"W10"
"374",72,6,NA,"W10",5.324,10.4,3,0.895353906,16.15,0.355,30,"W10"
"375",72,7,NA,"W10d",4.513,20.4,5,1.256637061,26.5,0.24,20,"W10"
"376",72,8,NA,"W10d",4.411,21,3,1.040652567,45,0.085,24,"W10"
"377",72,9,NA,"W10d",4.451,19.3,3,2.287472151,42.5,0.2,20,"W10"
"378",72,10,NA,"W10d",4.66,20.1,5,1.29590697,36.25,0.27,17,"W10"
"379",72,11,NA,"W10d",4.571,15.7,5,1.313578428,32.5,0.24,23,"W10"
"380",72,12,NA,"W10d",4.443,29.4,3,1.156498796,30.42,0.335,20,"W10"
"381",72,13,NA,"W10d",4.544,15.7,5,1.136863842,39.17,0.11,21,"W10"
"382",72,14,NA,"W10",4.673,24.9,5,2.737112599,17.5,0.42,27,"W10"
"383",72,15,NA,"W16a",4.422,23.1,3,0.559596191,21.88,0.155,8,"W16"
"384",72,16,NA,"W10d",3.898,31.5,5,1.276272016,50,0.095,13,"W10"
"385",73,1,NA,"W10d",4.225,59.3,5,3.025746424,44.5,0.21,19,"W10"
"386",73,2,NA,"W10d",4.506,34.8,5,1.596321767,35.83,0.2,26,"W10"
"387",73,3,NA,"W10d",4.837,31.7,5,1.10348442,40.83,0.115,29,"W10"
"388",73,4,NA,"W10d",4.233,49.3,3,1.297870465,14,0.23,28,"W10"
"389",73,5,NA,"W16b",4.594,53.7,5,2.285508655,12.24,0.38,18,"W16"
"390",73,6,NA,"W16",NA,16.6,5,1.150608309,45.83,0.13,16,"W16"
"391",73,7,NA,"W15",4.43,36.5,5,1.773036354,31.79,0.205,16,"W15"
"392",73,8,NA,"W16",4.397,46.5,3,0.9837112,28.61,0.235,17,"W16"
"393",73,9,NA,"W10d",4.617,38.8,5,NA,NA,NA,25,"W10"
"394",73,10,NA,"W10d",4.557,18.8,5,0.005890486,7.5,0.27,18,"W10"
"395",73,11,NA,"W16b",4.297,44,5,1.062251016,24.17,0.13,18,"W16"
"396",73,12,NA,"W10d",4.334,50.7,5,0.932660319,33.75,0.125,12,"W10"
"397",73,13,NA,"W16b",4.582,50.5,5,0.728456797,31.67,0.175,10,"W16"
"398",73,14,NA,"W10d",4.744,33.8,5,0.396626073,30.83,0.17,20,"W10"
"399",73,15,NA,"W10d",4.539,25.7,5,0.746128255,29.5,0.135,13,"W10"
"400",73,16,NA,"W16b",4.645,39.4,3,1.221294144,29.64,0.19,11,"W16"
"401",74,1,NA,"W10",5.293,14.9656,5,0.168860605,9.44,0.125,54,"W10"
"402",74,2,NA,"W10d",4.936,11.60646,6,1.040652567,42.5,0.12,29,"W10"
"403",74,3,NA,"W16b",4.387,17.81394,3,0.592975613,23.89,0.385,3,"W16"
"404",74,4,NA,"W16",4.359,13.88533,3,0.559596191,21.56,0.305,23,"W16"
"405",74,5,NA,"W16",4.016,38.51475,10,0.541924733,23.27,0.27,18,"W16"
"406",74,6,NA,"W16",4.9,13.07213,3,0.824668072,30.62,0.225,28,"W16"
"407",74,7,NA,"W16a",3.825,90.2,10,0.541924733,25.5,0.23,12,"W16"
"408",74,8,NA,"W16",4.186,48.17335,3,0.775580686,32.5,0.15,24,"W16"
"409",74,9,NA,"W16",4.171,95.04332,3,0.441786467,42.5,0.04,28,"W16"
"410",74,10,NA,"W16",4.44,43.73563,6,0.159043128,27.5,0.075,17,"W16"
"411",74,11,NA,"OV27",5.563,8.57786,3,NA,NA,NA,24,"OV27"
"412",74,12,NA,"W16",4.243,65.26704,5,NA,NA,NA,23,"W16"
"413",74,13,NA,"W16",3.924,95.80561,3,0.844303026,16.94,0.13,17,"W16"
"414",74,14,NA,"W16",4.719,22.91828,3,2.212859325,11.58,0.345,24,"W16"
"415",74,15,NA,"M15",4.18,95.65968,6,NA,NA,NA,32,"M15"
"416",74,16,NA,"",NA,NA,3,NA,NA,NA,0,""
"417",75,1,315,"W10",5.116,12.02548,5,2.479894701,8.28,0.885,29,"W10"
"418",75,2,315,"W10c",5.496,12.93359,5,5.075635631,12.31,0.775,23,"W10"
"419",75,3,0,"W8e",5.44,16.78079,5,1.829977721,8.52,0.975,20,"W8"
"420",75,4,315,"OV27",5.526,6.503258,5,0.298451302,8.26,0.38,23,"OV27"
"421",75,5,315,"W21c",5.225,28.15276,5,0.02552544,7.71,0.49,18,"W21"
"422",75,6,315,"W16b",3.74,18.7856,5,1.378373777,14.02,0.265,18,"W16"
"423",75,7,0,"W10c",3.885,16.68302,3,1.41568019,9.51,0.645,21,"W10"
"424",75,8,315,"W10d",4.022,24.22599,5,1.776963345,11.52,0.415,16,"W10"
"425",75,9,315,"W10c",4.936,14.49582,5,1.509927969,10.41,0.53,13,"W10"
"426",75,10,180,"W16b",5.131,16.90551,5,2.212859325,22.78,0.365,5,"W16"
"427",75,11,180,"W10d",4.069,15.16639,3,1.10741141,9.73,0.795,25,"W10"
"428",75,12,135,"W21",5.492,35.25842,5,0.007853982,7.5,0.36,29,"W21"
"429",75,13,0,"W8e",5.664,6.42104,5,0.916952356,12.84,0.6,34,"W8"
"430",75,14,NA,"W10c",5.304,13.10553,3,1.531526419,9.45,0.57,25,"W10"
"431",75,15,90,"W8",5.045,8.490957,5,3.591233102,10.94,0.65,28,"W8"
"432",75,16,90,"W21",5.658,16.66239,5,1.093666943,10.03,0.55,13,"W21"
"433",76,1,NA,"M15",5.491,9.124621,6,NA,NA,NA,19,"M15"
"434",76,2,NA,"M15c",5.354,6.416057,10,NA,NA,NA,21,"M15"
"435",76,3,NA,"W4",4.966,74.71497,6,0.005890486,7.5,0.475,15,"W4"
"436",76,4,NA,"H2",4.191,21.12616,10,0.021598449,7.79,0.185,12,"H2"
"437",76,5,NA,"M16a",4.613,45.75163,5,NA,NA,NA,12,"M16"
"438",76,6,NA,"M16a",4.423,92.87396,10,NA,NA,NA,19,"M16"
"439",76,7,NA,"M15c",5.013,88.78103,5,0.001963495,7.5,0.06,21,"M15"
"440",76,8,NA,"W16a",4.112,22.65664,10,0.005890486,7.5,0.09,20,"W16"
"441",76,9,NA,"W4",4.174,95.53541,6,0.865901475,57.5,0.055,20,"W4"
"442",76,10,NA,"W4",4.404,95.01275,10,0.398589568,23.5,0.105,19,"W4"
"443",76,11,NA,"W16a",4.157,93.57356,6,0.441786467,42.5,0.04,25,"W16"
"444",76,12,NA,"W16a",4.201,75.08974,6,1.670934593,48.75,0.185,20,"W16"
"445",76,13,NA,"M16a",4.199,80.7949,3,NA,NA,NA,12,"M16"
"446",76,14,NA,"W4",3.961,94.77132,3,1.670934593,44.17,0.125,19,"W4"
"447",76,15,NA,"U16c",4.619,12.71092,6,0.159043128,27.5,0.025,28,"U16"
"448",76,16,NA,"W16a",4.501,10.67801,3,NA,NA,NA,26,"W16"
"449",77,1,NA,"",NA,NA,10,NA,NA,NA,0,""
"450",77,2,NA,"W16a",4.735,8.467209,5,0.039269908,7.78,0.19,28,"W16"
"451",77,3,NA,"W16",5.304,3.308675,5,1.1545353,28.93,0.185,27,"W16"
"452",77,4,NA,"W10d",4.663,7.587283,5,2.601631416,43.33,0.245,38,"W10"
"453",77,5,NA,"W10d",3.967,7.986342,3,1.427461162,21.39,0.17,3,"W10"
"454",77,6,NA,"W10d",3.878,53.77546,3,1.097593933,20.83,0.22,30,"W10"
"455",77,7,NA,"W16a",3.823,14.68004,3,0.536034247,10.26,0.225,16,"W16"
"456",77,8,NA,"W16a",4.6,6.420317,8,0.826631567,27.12,0.32,24,"W16"
"457",77,9,NA,"W16a",5.065,7.848297,5,0.327903733,10.26,0.225,17,"W16"
"458",77,10,NA,"U16c",4.167,8.295856,5,0.096211275,8.33,0.455,18,"U16"
"459",77,11,NA,"H12a",4.787,5.899352,5,1.050470044,27.14,0.345,23,"H12"
"460",77,12,NA,"W10d",5.315,7.983272,5,0.23954644,9.17,0.1,38,"W10"
"461",77,13,NA,"W10d",3.533,90.1007,5,1.288052988,15.33,0.295,16,"W10"
"462",77,14,NA,"W10d",4.7,74.83952,5,0.200276532,9.23,0.175,22,"W10"
"463",77,15,NA,"W4",4.88,83.28445,6,0.074612826,8.08,0.145,26,"W4"
"464",77,16,NA,"",4.134,13.55719,10,NA,NA,NA,0,""
"465",78,1,NA,"W15a",4.569,13.07123,3,0.561559687,20.18,0.725,2,"W15"
"466",78,2,0,"W15a",5.145,19.74876,5,0.164933614,7.98,0.23,3,"W15"
"467",78,3,NA,"W15a",4.696,24.26205,5,0.11977322,8.53,0.175,2,"W15"
"468",78,4,315,"W15",4.822,17.76229,3,0.253290908,8.5,0.33,7,"W15"
"469",78,5,NA,"W16b",4.719,24.3383,5,0.828595062,11.3,0.22,8,"W16"
"470",78,6,NA,"W16b",4.637,25.20214,5,0.636172512,24.64,0.31,3,"W16"
"471",78,7,NA,"W16b",4.765,19.10909,3,0.559596191,23.45,0.44,3,"W16"
"472",78,8,NA,"W16a",4.107,27.10795,5,1.333213382,26.79,0.34,7,"W16"
"473",78,9,135,"W16a",3.983,27.96465,5,4.30201844,35.83,0.5,7,"W16"
"474",78,10,NA,"W16b",4.639,14.01664,5,1.900663555,29.42,0.35,4,"W16"
"475",78,11,270,"W16b",4.675,19.56059,5,0.559596191,23.12,0.33,5,"W16"
"476",78,12,NA,"W15a",4.381,34.43481,5,0.003926991,7.5,0.05,3,"W15"
"477",78,13,NA,"W15a",4.654,18.07886,5,0.752018741,13.44,0.175,4,"W15"
"478",78,14,90,"W16b",4.528,42.6377,5,0.162970119,11.5,0.045,4,"W16"
"479",78,15,NA,"W16b",4.098,16.13466,5,1.333213382,28.06,0.46,7,"W16"
"480",78,16,NA,"W16b",4.131,28.83199,5,0.559596191,24.5,0.55,4,"W16"
"481",79,1,320,"W15a",4.7,18.9,5,8.961393044,25.54,0.53,10,"W15"
"482",79,2,NA,"",NA,NA,5,NA,NA,NA,0,""
"483",79,3,NA,"",NA,NA,5,NA,NA,NA,0,""
"484",79,4,350,"W10d",4.3,18.1,5,1.861393647,15.22,0.585,16,"W10"
"485",79,5,330,"W10d",4.7,5.9,5,0.02552544,8.7,1.14,20,"W10"
"486",79,6,90,"W10c",4.2,11.7,5,0.5988661,12.76,0.39,21,"W10"
"487",79,7,NA,"W10d",4.4,12.5,5,3.39095657,13.25,0.43,16,"W10"
"488",79,8,NA,"W10d",4.7,5.4,5,0.068722339,14.81,0.48,13,"W10"
"489",79,9,NA,"W10d",4.5,9.4,5,0.078539816,8.08,2.21,19,"W10"
"490",79,10,340,"W10d",4.7,4.6,5,1.721985473,15.68,0.145,22,"W10"
"491",79,11,NA,"W16a",4.1,28.9,5,4.333434367,19.09,0.365,11,"W16"
"492",79,12,NA,"W10d",5,10.9,3,0.170824101,10.19,0.1,27,"W10"
"493",79,13,280,"W15",4.3,4.7,5,2.366011967,11.92,0.245,19,"W15"
"494",79,14,NA,"W6",4.6,9.9,5,4.527820412,14.52,0.625,40,"W6"
"495",79,15,0,"OV27",5.3,8.9,5,0.168860605,8.2,0.365,31,"OV27"
"496",79,16,360,"W10d",4.1,24.3,5,0.920879347,27.1,0.615,13,"W10"
"497",80,1,NA,"W10b",4,9.2,5,0.561559687,13.31,1.135,13,"W10"
"498",80,2,210,"W10a",4,8.7,5,0.424115008,15.32,1.205,12,"W10"
"499",80,3,180,"W10c",4.1,10.6,8,0.325940238,12.92,0.25,18,"W10"
"500",80,4,100,"W14",4.2,9.6,5,2.051852702,13.35,0.64,18,"W14"
"501",80,5,NA,"W16b",4.2,6.4,5,0.257217899,10.91,1.135,16,"W16"
"502",80,6,90,"W10a",4.5,6.5,7,3.905392367,19.31,0.605,15,"W10"
"503",80,7,180,"W10a",4.1,8.7,5,2.552544031,13.22,0.815,12,"W10"
"504",80,8,180,"W10a",4.3,11.8,3,2.580032967,12.55,0.975,13,"W10"
"505",80,9,180,"OV27",5.3,7.2,5,0.019634954,10.83,0.05,26,"OV27"
"506",80,10,NA,"W10a",4.3,6.5,5,0.81681409,11.51,0.91,18,"W10"
"507",80,11,NA,"OV27",5.2,5.9,5,NA,NA,NA,32,"OV27"
"508",80,12,NA,"OV27",4,10.1,5,0.017671459,12.5,0.01,28,"OV27"
"509",80,13,NA,"W16b",5.2,9.5,5,0.528180265,13.39,0.795,13,"W16"
"510",80,14,NA,"OV27",5.1,6.3,8,0.021598449,7.56,0.865,35,"OV27"
"511",80,15,NA,"W15a",4,8.6,5,1.305724447,12.67,1.18,16,"W15"
"512",80,16,270,"W10a",5.1,7.9,5,2.654645792,23.68,0.36,18,"W10"
"513",81,1,0,"W21",5.939,23.88868,5,3.840597019,13.8,0.52,19,"W21"
"514",81,2,0,"W14",4.388,19.66418,5,7.25707903,15.92,0.51,12,"W14"
"515",81,3,0,"W15c",4.148,25.19203,5,4.194026193,11.88,0.6,12,"W15"
"516",81,4,0,"W14",4.612,29.11447,3,1.452986602,10.95,0.355,13,"W14"
"517",81,5,0,"W10a",4.568,24.9651,5,1.580613804,14.81,0.16,15,"W10"
"518",81,6,0,"OV27d",4.561,19.53817,5,0.589048623,13.41,0.12,19,"OV27"
"519",81,7,NA,"W21",6.357,12.31707,5,1.716094987,12.36,0.365,27,"W21"
"520",81,8,NA,"OV27",4.99,13.10844,3,0.824668072,31.67,0.175,34,"OV27"
"521",81,9,NA,"OV27",4.222,61.52189,5,4.726133448,34.17,0.38,23,"OV27"
"522",81,10,0,"W10",5.23,11.02139,3,1.871211124,16.31,0.29,34,"W10"
"523",81,11,NA,"M27",6.016,14.64856,3,1.859430152,47.5,0.18,32,"M27"
"524",81,12,0,"W21",5.025,14.62548,5,0.636172512,13.61,0.1,28,"W21"
"525",81,13,NA,"W10",5,16.40909,5,0.879645943,21.5,0.19,28,"W10"
"526",81,14,NA,"W8d",5.22,16.61052,5,1.050470044,15.36,0.27,18,"W8"
"527",81,15,180,"W21",5.122,27.06911,3,1.582577299,13.9,0.65,27,"W21"
"528",81,16,180,"W10c",4.881,8.294704,3,0.161006623,14.17,0.035,22,"W10"
"529",82,1,300,"W10c",4.4,19.5,5,1.170243263,36.25,0.27,28,"W10"
"530",82,2,240,"W10c",4.6,5.8,3,1.172206759,27.5,0.15,18,"W10"
"531",82,3,170,"W10c",4.5,8,3,2.254092729,43.5,0.205,15,"W10"
"532",82,4,180,"W15a",5.6,13.2,3,3.051271865,31.67,0.35,18,"W15"
"533",82,5,180,"W15",4.5,11.4,3,3.12588469,32,0.295,14,"W15"
"534",82,6,180,"W10d",4.7,14.8,3,1.741620427,27.5,0.25,12,"W10"
"535",82,7,NA,"",NA,NA,3,NA,NA,NA,0,""
"536",82,8,270,"W15",4.2,21.7,3,2.760674544,39.17,0.22,13,"W15"
"537",82,9,180,"W10a",4.4,8,3,1.60810274,47.5,0.18,9,"W10"
"538",82,10,130,"W10d",4.4,7.7,3,1.663080611,23.86,0.235,12,"W10"
"539",82,11,NA,"W10c",4.5,9.7,3,1.574723318,55.83,0.16,23,"W10"
"540",82,12,240,"W10d",4.3,8.7,3,3.689407873,45.36,0.3,25,"W10"
"541",82,13,270,"W10d",4,11,3,2.472040719,27.14,0.345,28,"W10"
"542",82,14,300,"W10d",4.8,9.4,5,1.343030859,36.88,0.275,23,"W10"
"543",82,15,270,"W14",4.4,11.6,3,2.495602664,35.83,0.3,10,"W14"
"544",82,16,NA,"W10d",4,9.6,3,1.519745446,34.17,0.285,18,"W10"
"545",83,1,NA,"W10d",3.846,19.79811,3,0.115846229,10.15,0.13,35,"W10"
"546",83,2,NA,"OV27",5.101,15.62977,5,1.578650308,40,0.15,35,"OV27"
"547",83,3,NA,"OV27",4.039,16.31083,5,0.23954644,8.97,0.11,32,"OV27"
"548",83,4,NA,"OV27",3.902,20.6641,5,NA,NA,NA,40,"OV27"
"549",83,5,NA,"W10",5.113,10.90118,5,0.249363917,12.05,0.21,71,"W10"
"550",83,6,NA,"OV27",4.815,20.89654,5,0.068722339,10.5,0.08,43,"OV27"
"551",83,7,NA,"OV27",4.293,16.80277,5,0.019634954,9.5,0.07,40,"OV27"
"552",83,8,NA,"OV27",5.18,10.54362,5,NA,NA,NA,19,"OV27"
"553",83,9,NA,"MG7A",5.675,11.82014,5,NA,NA,NA,19,"MG7A"
"554",83,10,NA,"MG7A",5.183,12.50554,5,NA,NA,NA,14,"MG7A"
"555",83,11,NA,"MG7A",5.144,8.646189,5,NA,NA,NA,20,"MG7A"
"556",83,12,NA,"OV27",4.926,5.578477,5,1.926188996,26.59,0.265,37,"OV27"
"557",83,13,NA,"W6",6.063,9.846967,5,0.940514301,25.15,0.385,41,"W6"
"558",83,14,NA,"OV21",5.28,10.07028,3,NA,NA,NA,25,"OV21"
"559",83,15,NA,"OV27",5.893,17.61018,3,2.114684555,36.5,0.17,52,"OV27"
"560",83,16,NA,"",NA,NA,3,NA,NA,NA,0,""
"561",84,1,0,"W16b",3.796,10.98198,5,4.184208715,20.25,0.355,9,"W16"
"562",84,2,270,"W16b",3.696,16.13536,5,2.307107105,23.5,0.315,8,"W16"
"563",84,3,210,"W10a",4.283,10.81615,3,1.507964474,15.91,0.295,15,"W10"
"564",84,4,270,"W16b",3.687,27.42562,5,2.756747554,19.62,0.445,12,"W16"
"565",84,5,270,"W15a",3.416,19.8264,8,2.401354885,16.61,0.635,10,"W15"
"566",84,6,270,"OV27d",5.276,5.918505,5,2.360121481,18.15,0.36,14,"OV27"
"567",84,7,0,"W16b",3.414,10.11435,7,2.640901324,17.26,0.31,12,"W16"
"568",84,8,0,"W10a",3.934,15.39674,8,2.087195619,30,0.22,14,"W10"
"569",84,9,0,"W16a",4.149,10.15102,7,0.569413668,8.12,0.365,10,"W16"
"570",84,10,0,"W16b",3.612,11.31328,8,3.683517386,25.83,0.42,9,"W16"
"571",84,11,0,"W10a",3.991,15.2608,8,3.854341487,25.38,0.595,11,"W10"
"572",84,12,0,"W10a",3.979,14.62006,8,3.813108083,31.67,0.525,19,"W10"
"573",84,13,0,"W16",2.929,71.98654,7,NA,NA,NA,16,"W16"
"574",84,14,0,"W16b",3.3,13.35296,5,0.498727834,8.87,0.395,16,"W16"
"575",84,15,0,"W10a",4.74,4.968632,7,0.734347283,10.2,0.285,12,"W10"
"576",84,16,290,"W10d",3.289,40.80146,5,1.60810274,45.83,0.13,14,"W10"
"577",85,1,0,"W10c",4.515,43.11177,3,1.456913593,32.5,0.21,12,"W10"
"578",85,2,0,"W10c",4.171,22.50328,3,1.553124868,12.92,0.25,19,"W10"
"579",85,3,45,"W10",3.666,35.87699,5,2.144136986,33.33,0.185,14,"W10"
"580",85,4,45,"W16b",4.21,19.04165,5,2.01847328,31.94,0.265,14,"W16"
"581",85,5,315,"W10c",4.161,16.45369,5,2.159844949,42.5,0.16,13,"W10"
"582",85,6,0,"W16b",4.604,27.45354,5,2.042035225,27.88,0.33,11,"W16"
"583",85,7,0,"W10",4.295,10.27066,5,1.786780822,35.62,0.265,13,"W10"
"584",85,8,0,"OV27",4.366,15.00967,5,1.433351648,52.5,0.1,12,"OV27"
"585",85,9,315,"W16",4.207,27.59241,5,0.490873852,34.17,0.095,20,"W16"
"586",85,10,45,"W10d",4.515,21.05583,3,0.400553063,13.12,0.085,16,"W10"
"587",85,11,NA,"W21",4.364,17.75308,3,2.167698931,16.1,0.34,18,"W21"
"588",85,12,NA,"W21",4.255,66.22662,3,2.424916829,16.21,0.48,18,"W21"
"589",85,13,0,"W4",5.331,58.97935,10,1.61202973,21.5,0.19,27,"W4"
"590",85,14,0,"W16b",4.479,25.96144,5,1.833904712,35.68,0.365,11,"W16"
"591",85,15,NA,"OV27",5.046,12.86918,3,NA,NA,NA,18,"OV27"
"592",85,16,0,"W10",4.191,16.48015,5,0.907134879,8.51,0.445,20,"W10"
"593",86,1,NA,"W16b",4.023,23.44066,5,1.613993226,12.68,0.285,17,"W16"
"594",86,2,0,"W16",4.273,18.46862,5,3.840597019,22.29,0.475,20,"W16"
"595",86,3,0,"W16",4.461,18.33002,5,0.887499925,27.5,0.125,9,"W16"
"596",86,4,45,"W16b",4.371,39.31693,7,1.519745446,29.38,0.215,10,"W16"
"597",86,5,NA,"W16",4.478,20.8172,3,0.23954644,9.4,0.29,23,"W16"
"598",86,6,0,"W16a",4.589,12.42845,5,0.748091751,18.93,0.115,10,"W16"
"599",86,7,NA,"W10",3.987,18.46233,5,1.500110492,38.21,0.25,27,"W10"
"600",86,8,180,"W16b",4.509,14.28174,5,0.135481183,9.04,0.34,11,"W16"
"601",86,9,NA,"W16b",4.274,16.6933,5,0.001963495,7.5,0.01,10,"W16"
"602",86,10,180,"W16a",3.906,63.84535,3,1.150608309,44.5,0.21,14,"W16"
"603",86,11,315,"W16",4.473,29.87387,3,1.932079482,24.5,0.33,22,"W16"
"604",86,12,270,"W16a",4.345,24.36314,3,2.181443399,34,0.315,16,"W16"
"605",86,13,NA,"W16",4.429,34.36298,5,1.327322896,36.79,0.24,14,"W16"
"606",86,14,180,"W10d",4.09,24.50392,5,1.437278639,36.5,0.17,13,"W10"
"607",86,15,NA,"W16",4.054,22.61078,5,1.875138115,49.17,0.14,12,"W16"
"608",86,16,NA,"W16b",4.278,15.16094,5,1.264491043,20.44,0.61,16,"W16"
"609",87,1,0,"W10d",4.508,15.18415,5,2.521128105,48.75,0.185,10,"W10"
"610",87,2,0,"W10d",4.124,20.60328,5,1.246819584,38.75,0.145,10,"W10"
"611",87,3,0,"W10d",4.378,16.38381,5,1.197732199,52.5,0.2,7,"W10"
"612",87,4,315,"W10d",4.616,28.06814,5,1.733766446,45.83,0.13,14,"W10"
"613",87,5,315,"MG7A",4.706,24.09946,3,1.233075117,34.5,0.16,16,"MG7A"
"614",87,6,0,"W16",4.317,15.80102,5,0.730420292,12.75,0.205,11,"W16"
"615",87,7,315,"W10c",5.01,21.32345,5,1.928152491,10.8,0.78,24,"W10"
"616",87,8,0,"W10d",4.521,15.45523,5,1.011200135,37.5,0.175,10,"W10"
"617",87,9,0,"W10d",5.824,12.07273,5,3.015928947,18.93,0.46,17,"W10"
"618",87,10,315,"W16b",4.463,40.5821,5,2.212859325,32.5,0.3,9,"W16"
"619",87,11,315,"W10d",4.517,28.42939,5,2.682134728,40,0.3,11,"W10"
"620",87,12,315,"W10d",4.223,10.91821,5,3.738495258,41.59,0.43,12,"W10"
"621",87,13,315,"W16",4.493,22.17472,5,1.955641427,40.83,0.345,10,"W16"
"622",87,14,NA,"W16b",4.342,67.88963,5,1.600248758,19.02,0.38,9,"W16"
"623",87,15,0,"W16a",4.467,13.8415,5,1.00923664,45,0.17,5,"W16"
"624",87,16,45,"W10d",5.093,11.08892,5,1.651299639,77.5,0.075,12,"W10"
"625",88,1,180,"W10a",4,13.5,5,0.184568568,9.03,1.405,41,"W10"
"626",88,2,180,"W8d",5.2,8,5,1.348921346,11.54,1.03,33,"W8"
"627",88,3,NA,"W10",4,11.4,5,0.500691329,9.34,1.17,33,"W10"
"628",88,4,160,"W10",4,9.3,5,0.636172512,15.15,0.62,24,"W10"
"629",88,5,210,"W16b",3.9,15.6,5,2.216786316,10.04,0.935,15,"W16"
"630",88,6,180,"W10d",4.3,5.1,5,0.569413668,11.72,0.95,30,"W10"
"631",88,7,180,"W10",3.8,14.9,5,0.575304155,10.18,1.075,24,"W10"
"632",88,8,180,"W10",5.2,9.3,5,1.651299639,11.77,0.445,34,"W10"
"633",88,9,220,"W10b",3.9,12.4,5,1.979203372,15,0.2,14,"W10"
"634",88,10,180,"W15a",4.1,12.3,5,5.401575869,11.85,0.935,12,"W15"
"635",88,11,180,"W10a",4,14.9,5,2.495602664,13.28,0.345,11,"W10"
"636",88,12,NA,"W10",3.9,13.5,3,0.592975613,15.39,0.49,31,"W10"
"637",88,13,140,"W10d",4.3,8.3,5,0.111919238,8.78,1.15,15,"W10"
"638",88,14,NA,"W10d",3.9,13.6,3,1.755364895,35.36,0.23,12,"W10"
"639",88,15,180,"W16a",4.1,20.9,5,0.840376035,27.5,0.1,8,"W16"
"640",88,16,160,"W10",4.1,18,5,2.397427894,11.18,0.66,42,"W10"
"641",89,1,NA,"W16b",4,69.3,3,1.048506548,12.07,0.335,6,"W16"
"642",89,2,NA,"W16b",3.7,21.5,3,1.032798585,9.83,0.315,10,"W16"
"643",89,3,NA,"W16b",4.3,31.2,5,0.860010989,12.5,0.45,8,"W16"
"644",89,4,NA,"W16b",4.2,24.3,5,0.310232275,17.02,0.305,9,"W16"
"645",89,5,NA,"W16b",4.3,71.6,5,0.750055246,13.4,0.425,18,"W16"
"646",89,6,NA,"W15a",4.1,23.8,5,3.418445506,39.72,0.335,8,"W15"
"647",89,7,NA,"W16b",4.4,9.9,5,1.431388153,23.55,0.4,15,"W16"
"648",89,8,NA,"W15c",4.3,13.3,5,0.514435797,17.83,0.23,11,"W15"
"649",89,9,NA,"W10a",3.9,22.4,5,2.295326133,11.33,0.865,12,"W10"
"650",89,10,NA,"W16b",4.3,19.2,3,0.893390411,13.7,0.28,12,"W16"
"651",89,11,NA,"W16b",3.9,27,5,2.18929738,12.98,0.66,13,"W16"
"652",89,12,NA,"W10c",4.1,16.4,5,0.133517688,8.69,0.13,16,"W10"
"653",89,13,NA,"OV27d",4.6,15.6,5,2.746930076,9.1,0.865,14,"OV27"
"654",89,14,NA,"W16b",3.7,67.5,3,0.753982237,18.55,0.305,11,"W16"
"655",89,15,NA,"W16b",4.4,20.8,5,2.758711049,17.16,0.425,16,"W16"
"656",89,16,NA,"W16b",4,25.6,5,1.211476667,9.35,0.575,14,"W16"
"657",90,1,NA,"W10",5.311,27.45509,3,1.011200135,12.61,0.445,31,"W10"
"658",90,2,NA,"",NA,NA,5,NA,NA,NA,0,""
"659",90,3,NA,"W10a",4.495,10.31416,3,2.375829444,16.5,0.49,13,"W10"
"660",90,4,NA,"W6",6.075,18.45923,3,1.667007602,16.3,0.345,25,"W6"
"661",90,5,NA,"W16b",4.03,12.13449,5,1.074031988,11.64,0.32,11,"W16"
"662",90,6,NA,"W10a",4.625,24.81672,6,2.367975463,12.02,0.295,27,"W10"
"663",90,7,NA,"W10a",4.17,13.47308,6,1.354811832,18.5,0.24,17,"W10"
"664",90,8,NA,"OV27d",4.319,27.28158,3,2.299253123,14.48,0.575,19,"OV27"
"665",90,9,NA,"W10c",3.786,13.88052,5,0.946404787,17.5,0.405,20,"W10"
"666",90,10,NA,"W10c",3.822,13.91529,3,1.070104998,16.79,0.6,23,"W10"
