Site,Plot,alpha,cover,shrub_allelo,tree_allelo,lba,som,pH,amtrees,amcover,nvc,ms,flag
1.0,1.0,12,81.0,0.0,0.0,0.539961237,17.2,3.8,0.0,1.0,W10,em,t
1.0,1.0,12,81.0,0.0,0.0,0.539961237,17.2,3.8,0.0,1.0,W10,em,t
1.0,2.0,12,119.5,0.0,0.0,4.80663676,17.4,3.9,0.0,1.0,W10,em,t
1.0,3.0,13,107.0,0.0,0.0,1.537416905,11.3,4.3,341.64820107789,12.0,W10,em,t
1.0,3.0,13,107.0,0.0,0.0,1.537416905,11.3,4.3,341.64820107789,12.0,W10,em,t
1.0,4.0,8,19.0,0.0,0.0,1.083849465,19.5,3.9,0.0,2.0,W10,em,t
1.0,5.0,16,98.0,0.0,0.0,1.462804079,8.4,4.5,322.0132469929538,13.0,W10,em,t
1.0,5.0,16,98.0,0.0,0.0,1.462804079,8.4,4.5,322.0132469929538,13.0,W10,em,t
1.0,6.0,19,100.5,0.0,0.0,1.502073987,42.2,4.1,0.0,4.0,W10,em,t
1.0,6.0,19,100.5,0.0,0.0,1.502073987,42.2,4.1,0.0,4.0,W10,em,t
1.0,7.0,25,82.5,0.0,0.0,1.3155419240000001,14.7,4.2,0.0,2.0,W10,em,t
1.0,7.0,25,82.5,0.0,0.0,1.3155419240000001,14.7,4.2,0.0,2.0,W10,em,t
1.0,8.0,16,9.0,0.0,0.0,1.743583923,33.2,4.2,78.53981633974482,163.0,W10,em,t
1.0,8.0,16,9.0,0.0,0.0,1.743583923,33.2,4.2,78.53981633974482,163.0,W10,em,t
1.0,8.0,16,9.0,0.0,0.0,1.743583923,33.2,4.2,78.53981633974482,163.0,W10,em,t
1.0,9.0,29,97.0,0.0,0.0,0.960149255,16.3,5.3,282.74333882308133,15.0,W10,em,t
1.0,9.0,29,97.0,0.0,0.0,0.960149255,16.3,5.3,282.74333882308133,15.0,W10,em,t
1.0,9.0,29,97.0,0.0,0.0,0.960149255,16.3,5.3,282.74333882308133,15.0,W10,em,t
1.0,10.0,17,31.5,0.0,0.0,1.470658061,11.8,4.8,255.25440310417068,35.0,W10,em,t
1.0,10.0,17,31.5,0.0,0.0,1.470658061,11.8,4.8,255.25440310417068,35.0,W10,em,t
1.0,10.0,17,31.5,0.0,0.0,1.470658061,11.8,4.8,255.25440310417068,35.0,W10,em,t
1.0,11.0,18,18.5,0.0,0.0,0.675442421,27.1,4.2,0.0,4.0,W10,em,t
1.0,11.0,18,18.5,0.0,0.0,0.675442421,27.1,4.2,0.0,4.0,W10,em,t
1.0,12.0,21,53.5,0.0,31.41592653589793,1.072068493,12.8,5.2,310.23227454199207,3.0,W8,am,t
1.0,13.0,15,97.0,0.0,0.0,1.0033461540000002,16.4,4.0,0.0,12.0,W10,em,t
1.0,13.0,15,97.0,0.0,0.0,1.0033461540000002,16.4,4.0,0.0,12.0,W10,em,t
1.0,13.0,15,97.0,0.0,0.0,1.0033461540000002,16.4,4.0,0.0,12.0,W10,em,t
1.0,14.0,14,63.5,0.0,0.0,1.5747233180000002,20.0,4.1,0.0,4.0,W10,em,t
1.0,14.0,14,63.5,0.0,0.0,1.5747233180000002,20.0,4.1,0.0,4.0,W10,em,t
1.0,15.0,13,76.5,0.0,0.0,1.6238107030000002,35.5,4.0,0.0,3.0,W10,em,t
1.0,15.0,13,76.5,0.0,0.0,1.6238107030000002,35.5,4.0,0.0,3.0,W10,em,t
1.0,16.0,9,89.0,0.0,31.41592653589793,0.6459899889999999,12.2,4.3,70.68583470577035,3.0,W21,am,o
1.0,16.0,9,89.0,0.0,31.41592653589793,0.6459899889999999,12.2,4.3,70.68583470577035,3.0,W21,am,o
2.0,1.0,20,16.0,0.0,0.0,1.280199006,6.7,5.0,0.0,25.0,W10,em,t
2.0,1.0,20,16.0,0.0,0.0,1.280199006,6.7,5.0,0.0,25.0,W10,em,t
2.0,1.0,20,16.0,0.0,0.0,1.280199006,6.7,5.0,0.0,25.0,W10,em,t
2.0,2.0,8,48.0,0.0,0.0,1.5217089419999998,12.9,4.2,51.050880620834135,33.0,W10,em,t
2.0,2.0,8,48.0,0.0,0.0,1.5217089419999998,12.9,4.2,51.050880620834135,33.0,W10,em,t
2.0,2.0,8,48.0,0.0,0.0,1.5217089419999998,12.9,4.2,51.050880620834135,33.0,W10,em,t
